asset_name,asset_type,terrain_risk,priority_level,covered_by_original_ARIA,barrier_lake_impact,landslide_impact,debris_flow_impact
光榮活動中心,shelter,Critical,,1,0,0,0
平和活動中心,shelter,Critical,,1,0,1,0
月眉活動中心,shelter,Medium,,1,0,1,0
志學活動中心,shelter,Medium,,1,0,1,0
池南活動中心,shelter,Critical,,1,0,0,0
光華活動中心,shelter,Low,,1,0,1,0
干城活動中心,shelter,Low,,1,0,1,0
文蘭活動中心,shelter,Critical,,1,0,0,0
仁安活動中心,shelter,Low,,1,0,1,0
南華活動中心,shelter,Low,,1,0,1,0
稻香活動中心,shelter,Low,,1,0,1,0
永興活動中心,shelter,Low,,1,0,1,0
仁和活動中心,shelter,Low,,1,0,1,0
銅門收容所,shelter,Critical,,1,0,0,0
東昌活動中心,shelter,High,,1,0,1,0
仁里活動中心,shelter,High,,1,0,1,0
主農社區活動中心,shelter,High,,1,0,1,0
福興活動中心,shelter,Low,,1,0,1,0
南昌活動中心,shelter,Medium,,1,0,1,0
中正國小,shelter,Medium,,1,0,1,0
中原國小文中三國中預定地,shelter,High,,1,0,1,0
吉安國小,shelter,Low,,1,0,1,0
花蓮城隍廟香客大樓,shelter,Medium,,1,0,1,0
吉安活動中心,shelter,Low,,1,0,1,0
五穀宮,shelter,Medium,,1,0,1,0
勝安活動中心,shelter,High,,1,0,1,0
宜昌活動中心,shelter,High,,1,0,1,0
忠孝國小,shelter,Medium,,1,0,1,0
主權社區活動中心,shelter,Medium,,1,0,1,0
勝安宮,shelter,High,,1,0,1,0
聖地慈惠堂,shelter,High,,1,0,1,0
中正體育館,shelter,Critical,,1,0,1,0
國風國中,shelter,Medium,,1,0,1,0
明義國小,shelter,High,,1,0,1,0
花蓮市公所,shelter,High,,1,0,1,0
慶豐活動中心,shelter,High,,1,0,1,0
國立花蓮農業職業學校,shelter,Medium,,1,0,1,0
花蓮高商,shelter,Medium,,1,0,1,0
北昌活動中心,shelter,Low,,1,0,1,0
南美崙營區,shelter,High,,1,0,1,0
永安活動中心,shelter,Medium,,1,0,1,0
中華國小,shelter,Critical,,1,0,1,0
鑄強國小,shelter,Medium,,1,0,1,0
太昌活動中心,shelter,Low,,1,0,1,0
明廉國小,shelter,Low,,1,0,1,0
"慈濟大學附設國民中學,小學",shelter,Medium,,1,0,1,0
美崙國中,shelter,Medium,,1,0,1,0
自強國中,shelter,Low,,1,0,1,0
花蓮高工,shelter,High,,1,0,1,0
慈濟大學人文社會學院,shelter,High,,1,0,1,0
私立四維高級中學,shelter,Medium,,1,0,1,0
行政院國軍退除役官兵輔導委員會花,shelter,High,,1,0,1,0
民孝社區活動中心,shelter,High,,1,0,1,0
衛生福利部東區老人之家養護院區,shelter,High,,1,0,1,0
水源收容所,shelter,Critical,,1,0,1,0
大陳二村活動中心,shelter,Medium,,1,0,1,0
花蓮縣立體育場,shelter,High,,1,0,1,0
嘉新社區活動中心,shelter,High,,1,0,1,0
花蓮港天宮,shelter,High,,1,0,1,0
國福社區活動中心,shelter,High,,1,0,1,0
佳林社區活動中心,shelter,High,,1,0,1,0
