StationId,StationName,CountyName,TownName,StationLatitude,StationLongitude,StationAltitude,DateTime,Past1hr,Past10Min,Past3hr,Past6hr,Past12hr,Past24hr,NOW,Past2days,Past3days
C0FB70,大甲溪埔,臺中市,大甲區,24.370625,120.620067,41,2025/7/29 00:00,0,0,3,18,95.5,213,213,363.5,363.5
C0TA20,加灣,花蓮縣,秀林鄉,24.082025,121.608944,45,2025/7/29 00:00,0,0,0,0,5,10,10,10,10.5
C0TA10,花蓮漁港,花蓮縣,花蓮市,23.995322,121.638331,17,2025/7/29 00:00,0,0,0,1.5,5.5,7.5,7.5,7.5,7.5
C0SB80,長濱漁港,臺東縣,長濱鄉,23.313644,121.459994,53,2025/7/29 00:00,0,0,0,0,0,8.5,8.5,8.5,8.5
C0SB70,小港漁港,臺東縣,成功鎮,23.158558,121.400431,28,2025/7/29 00:00,0,0,0,0,0,8,8,8,8
C0SB60,白守蓮,臺東縣,成功鎮,23.126769,121.401914,20,2025/7/29 00:00,0,0,0,0,0,8.5,8.5,9,9
C0SB50,叭嗡嗡,臺東縣,成功鎮,23.047062,121.343223,7,2025/7/29 00:00,0,0,0,0,0,7,7,7,7
C0SB30,新蘭,臺東縣,東河鄉,22.869214,121.223228,60,2025/7/29 00:00,0,0,0,0,0,8.5,8.5,8.5,8.5
C0SB20,富岡,臺東縣,臺東市,22.792467,121.192669,29,2025/7/29 00:00,0,0,0,0,0,10.5,10.5,10.5,10.5
C0SB10,美和,臺東縣,太麻里鄉,22.682078,121.060236,28,2025/7/29 00:00,0,0,0,0,2.5,10,10,10,10.5
C0AK10,太平里,新北市,林口區,25.134937,121.364899,18,2025/7/29 00:00,0,0,4,4.5,6,6.5,6.5,17.5,19.5
C0V910,大樹,高雄市,大樹區,22.684645,120.432803,50,2025/7/29 00:00,1,0.5,6.5,7.5,53,112,112,131.5,141
C2V310,美濃,高雄市,美濃區,22.898792,120.51907,51,2025/7/29 00:00,0,0,0,0,79.5,138.5,138.5,168,202
C2R170,屏東,屏東縣,屏東市,22.660269,120.494027,35,2025/7/29 00:00,1,0.5,1.5,3,86,180,180,225,246.5
C2M970,碧湖,嘉義縣,梅山鄉,23.568632,120.624165,1019,2025/7/29 00:00,0,0,0,0.5,6.5,25.5,25.5,32.5,120.5
C2M960,外寮,嘉義縣,梅山鄉,23.562643,120.665688,1126,2025/7/29 00:00,0,0,0,0,8,28,28,58,110
C2H9U0,鳳鵬,南投縣,鹿谷鄉,23.763919,120.788061,343,2025/7/29 00:00,0,0,0,0,0,18,18,22.5,108
C2H9T0,名間竹圍,南投縣,名間鄉,23.859914,120.637572,317,2025/7/29 00:00,0,0,0,0,2.5,34,34,40,106.5
C2R970,屏科大,屏東縣,內埔鄉,22.648275,120.619247,128,2025/7/29 00:00,7,1,10.5,10.5,78,188.5,188.5,248,278
C2H9S0,龍南,南投縣,國姓鄉,23.953536,120.833183,1000,2025/7/29 00:00,0,0,0,0,10,72,72,85.5,172.5
