StationId,StationName,CountyName,TownName,StationLatitude,StationLongitude,StationAltitude,DateTime,Past1hr,Past10Min,Past3hr,Past6hr,Past12hr,Past24hr,NOW,Past2days,Past3days
C2F000,大肚,臺中市,大肚區,24.15295,120.57211,273,2025/11/12 00:00,0,0,0,0,0,0,0,0,0
81T1B0,和仁車站,花蓮縣,秀林鄉,24.236166,121.708898,40,2025/11/12 00:00,0,0,0,0.5,25,103,103,177.5,177.5
81T1A0,崇德國小,花蓮縣,秀林鄉,24.161555,121.653037,20,2025/11/12 00:00,0,0,0,0,7.5,99.5,99.5,168,168
467280,後龍,苗栗縣,造橋鄉,24.648563,120.831834,30,2025/11/12 00:00,0,0,0,0,0,0,0,0,0
CAV280,國三S378K,高雄市,田寮區,22.825958,120.41551,107,2025/11/12 00:00,0,0,0,0,0,5,5,11,11
CAN150,國一N315K,臺南市,新市區,23.0835,120.25189,13,2025/11/12 00:00,0,0,0,0,0,2.5,2.5,5,5
CAV270,國一S336K,高雄市,路竹區,22.894167,120.27117,23,2025/11/12 00:00,0,0,0,0,0,3.5,3.5,6,6
CAM900,國三S290K,嘉義縣,竹崎鄉,23.504106,120.49074,47,2025/11/12 00:00,0,0,0,0,0,0,0,1,1
CAD710,國三N077K,新竹縣,關西鎮,24.797294,121.19003,218,2025/11/12 00:00,0,0,0.5,1.5,2.5,16,16,19,19
CAC760,國一高架N063,桃園市,平鎮區,24.950281,121.19631,170,2025/11/12 00:00,0.5,0,2,4,8.5,18.5,18.5,20,20
CAA990,國一N039K,新北市,泰山區,25.064433,121.38197,233,2025/11/12 00:00,2,0,2,2,3.5,12.5,12.5,13,13
CAF980,國三N183K,臺中市,龍井區,24.193628,120.57031,131,2025/11/12 00:00,0,0,0,0,0,0,0,0,0
CAF960,國三S175K,臺中市,沙鹿區,24.251494,120.58968,154,2025/11/12 00:00,0,0,0,0,0,0,0,0,0
CAF950,國一N158K,臺中市,后里區,24.332372,120.71714,183,2025/11/12 00:00,0,0,0,0,0,0,0,0,0
CAE560,國一S144K,苗栗縣,銅鑼鄉,24.437042,120.77821,265,2025/11/12 00:00,0,0,0,0,0,0.5,0.5,0.5,0.5
C2N160,西拉雅風管處,臺南市,官田區,23.189481,120.335297,43,2025/11/12 00:00,0,0,0,0,0,2.5,2.5,4.5,4.5
81V940,寶山部落,高雄市,桃源區,23.036563,120.708987,1080,2025/11/12 00:00,0,0,0,0,0,1,1,1,1
81S560,三和國小,臺東縣,太麻里鄉,22.67206,121.037516,10,2025/11/12 00:00,0,0,6,16,17,49.5,49.5,119,119
81M790,麻竹湖步道,嘉義縣,番路鄉,23.403864,120.649071,1090,2025/11/12 00:00,0,0,0,0,0,0,0,3,3
81V930,竹林,高雄市,六龜區,23.107777,120.738611,1200,2025/11/12 00:00,0,0,0,0,0,0.5,0.5,0.5,0.5
81V920,新庄,高雄市,杉林區,22.982777,120.57,310,2025/11/12 00:00,0,0,0,0,0,4,4,7.5,7.5
81S540,拉里吧,臺東縣,達仁鄉,22.479722,120.9125,170,2025/11/12 00:00,11,2.5,15.5,16,26,95.5,95.5,175.5,176
81M780,文峰遊客中心,嘉義縣,竹崎鄉,23.5175,120.593333,230,2025/11/12 00:00,0,0,0,0,0,0,0,0,0
81HB30,和雅茶園,南投縣,鹿谷鄉,23.702777,120.762222,1060,2025/11/12 00:00,0,0,0,0,0,0,0,2,2
81HB20,廬山國小,南投縣,仁愛鄉,24.035,121.186111,1430,2025/11/12 00:00,0.5,0,0.5,0.5,0.5,5.5,5.5,8.5,8.5
81F970,松茂部落,臺中市,和平區,24.2775,121.263333,1730,2025/11/12 00:00,0,0,0,0,0,4.5,4.5,4.5,4.5
81F960,梨山部落,臺中市,和平區,24.257222,121.259166,2000,2025/11/12 00:00,0.5,0,0.5,0.5,1,8.5,8.5,17,17
